"Demand" "contrib" "Supply" "contrib.1"
"Food (restaurants)" 0.29 "Imputed rental fees for housing" 0.33
"Vehicle fuel/lubricants" 0.25 "Food (groceries)" 0.14
"Paid rental fees for housing" 0.19 "Mutual funds" 0.05
"Non-alcoholic beverages" 0.08 "Out-patient services" 0.05
"Food (groceries)" 0.05 "Insurance related to transport" 0.04
"Air transport" 0.05 "Alcoholic beverages" 0.04
"Furniture and furnishings" 0.03 "Vehicle parts/accessories" 0.03
"Games of chance" 0.02 "Other appliances, articles and products for personal care" 0.03
"Water supply and sanitation services" 0.02 "Health insurance" 0.03
"Used motor vehicles" 0.02 "Garments" 0.03
