"item","Jan/jan","Feb/fev","Mar/mar","Apr/avr","May/mai","Jun/jui","Jul/jui","Aug/aou","Sep/sep","Oct/oct","Nov/nov","Dec/dec","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"WHITEHORSE Pump Price / Prix au detail","179.9",184.9,181.7,161.9,161.9,161.9,161.9,161.9,161.9,158.3,149.9,149.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Western Weighted Average)   Crude Costs / Cout de brut","62.1",58.3,57.1,54,51.3,56.3,55.5,52.5,51.5,48.6,47.9,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","48.3",58.9,55.9,58.3,70,55.7,55.9,63.7,66.4,59.9,60.6,48.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","27.1",25.1,26.2,25.7,16.7,26,26.6,21.7,20.1,26.1,18.1,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","42.4",42.6,42.5,23.9,23.9,23.9,23.9,23.9,23.9,23.7,23.3,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","8.6",8.8,8.7,7.7,7.7,7.7,7.7,7.7,7.7,7.5,7.1,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","23.8",23.8,23.8,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VANCOUVER* Pump Price / Prix au detail","181.6",188.7,183.4,165.9,173.8,165.6,164.3,168.8,171.8,161.9,161.7,147.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Western Weighted Average)   Crude Costs / Cout de brut","62.1",58.3,57.1,54,51.3,56.3,55.5,52.5,51.5,48.6,47.9,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","48.3",58.9,55.9,58.3,70,55.7,55.9,63.7,66.4,59.9,60.6,48.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","7.9",7.9,7,8.8,7.2,8.7,8.1,7.5,8.7,8.7,8.6,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","63.3",63.6,63.3,44.9,45.3,44.9,44.8,45,45.2,44.7,44.7,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","8.6",9,8.7,7.9,8.3,7.9,7.8,8,8.2,7.7,7.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial(apportioned to various agencies)","32.1",32.1,32.1,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Additional Tax in the Greater Vancouver Transit Area","12.5",12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YELLOWKNIFE Pump Price / Prix au detail","162.6",162.2,162.7,144.7,142.5,143.8,144.6,145.5,146,145,144.3,139.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Western Weighted Average)   Crude Costs / Cout de brut","62.1",58.3,57.1,54,51.3,56.3,55.5,52.5,51.5,48.6,47.9,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","27.9",32.1,33.2,35.9,39,32.7,33.8,39.2,38,34.2,36.8,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","26.5",25.8,26.3,27.2,24.7,27.1,27.8,26.2,28.8,34.6,32,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","46.1",46,46.1,27.6,27.5,27.6,27.6,27.6,27.7,27.6,27.6,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","7.7",7.7,7.7,6.9,6.8,6.8,6.9,6.9,6.9,6.9,6.9,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","28.3",28.3,28.3,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALGARY* Pump Price / Prix au detail","149.19999999999999",150.2,148.1,130,131.6,131.3,130.2,132.9,132.3,124.9,126.7,114.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Western Weighted Average)   Crude Costs / Cout de brut","62.1",58.3,57.1,54,51.3,56.3,55.5,52.5,51.5,48.6,47.9,45.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","30.3",34.5,35.6,38.3,41.4,35.1,36.2,41.6,40.4,36.6,39.2,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","9",9.6,7.7,8.6,9.6,10.5,9.3,9.5,11.1,10.8,10.6,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","47.7",47.8,47.7,29.2,29.3,29.3,29.2,29.3,29.3,29,29,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","7.1",7.2,7,6.2,6.3,6.3,6.2,6.3,6.3,5.9,6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
