product_id,product,product_code_approx,category
1,Fresh or frozen beef,MPG311601,Food purchased from stores
2,Fresh or frozen pork,MPG311602,Food purchased from stores
3,Fresh or frozen chicken,MPG311603,Food purchased from stores
4,Other fresh or frozen poultry,MPG311603,Food purchased from stores
5,Canned and other preserved fish,MPG311700,Food purchased from stores
6,Seafood and other marine products,MPG311700,Food purchased from stores
7,Fresh milk,MPG311501,Food purchased from stores
8,Butter,MPG311503,Food purchased from stores
9,Ice cream and related products,MPG311504,Food purchased from stores
10,Eggs,MPG112004,Food purchased from stores
11,Rice and rice-based mixes,MPG311208,Food purchased from stores
12,Breakfast cereal and other cereal products (excluding baby food),MPG311203,Food purchased from stores
13,Pasta products,MPG311803,Food purchased from stores
14,Flour and flour-based mixes,MPG311803,Food purchased from stores
15,Apples,MPG111A10,Food purchased from stores
16,Oranges,MPG111A10,Food purchased from stores
17,Bananas,MPG111A10,Food purchased from stores
18,Potatoes,MPG111A05,Food purchased from stores
19,Tomatoes,MPG111A08,Food purchased from stores
20,Lettuce,MPG111A08,Food purchased from stores
21,Canned vegetables and other vegetable preparations,MPG311402,Food purchased from stores
22,Margarine,MPG311202,Food purchased from stores
23,Other edible fats and oils,MPG311202,Food purchased from stores
24,Coffee,MPG311902,Food purchased from stores
25,Tea,MPG311902,Food purchased from stores
26,Soup,MPG311909,Food purchased from stores
27,Baby foods,MPG311909,Food purchased from stores
28,Frozen food preparations,MPG311402,Food purchased from stores
29,Non-alcoholic beverages,MPG312110,Food purchased from stores
30,Rent,MPS531101,Rented accommodation
31,Tenants' insurance premiums,MPS524104,Rented accommodation
32,"Tenants' maintenance, repairs and other expenses",MPS561700,Rented accommodation
33,Mortgage interest cost,,Owned accommodation
34,Homeowners' replacement cost,,Owned accommodation
35,Property taxes and other special charges,,Owned accommodation
36,Homeowners' home and mortgage insurance,,Owned accommodation
37,Homeowners' maintenance and repairs,MPS561700,Owned accommodation
38,Electricity,ENE221100,Energy
39,Water,ENE221303,
40,Natural gas,ENE211102,Energy
41,Fuel oil and other fuels,ENE324113,Energy
42,Communications,MPG23C400,
43,Child care services,MPS624001,
44,Housekeeping services,,
45,Detergents and soaps (other than personal care),MPG325601,
46,Upholstered furniture,MPG337102,
47,Wooden furniture,MPG337102,
48,Refrigerators and freezers,MPG335204,
49,Services related to household furnishings and equipment,MPS814002,
